1,"General Edward Lawrence Logan Intl","Boston","United States","BOS","KBOS",42.364347,-71.005181,19,-5,"A"
2,"Newark Liberty Intl","Newark","United States","EWR","KEWR",40.6925,-74.168667,18,-5,"A"
3,"John F Kennedy Intl","New York","United States","JFK","KJFK",40.639751,-73.778925,13,-5,"A"
4,"City","London","United Kingdom","LCY","EGLC",51.505278,0.055278,19,0,"E"
5,"La Guardia","New York","United States","LGA","KLGA",40.777245,-73.872608,22,-5,"A"
6,"Heathrow","London","United Kingdom","LHR","EGLL",51.4775,-0.461389,83,0,"E"
7,"Luton","London","United Kingdom","LTN","EGGW",51.874722,-0.368333,526,0,"E"
8,"Liverpool","Liverpool","United Kingdom","LPL","EGGP",53.333611,-2.849722,80,0,"E"
9,"Morristown Municipal Airport","Morristown","United States","MMU","KMMU",40.79935,-74.4148747,187,-5,"A"
10,"Stansted","London","United Kingdom","STN0","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN1","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN2","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN3","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN4","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN5","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN6","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN7","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN8","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN9","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN10","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN11","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN12","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN13","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN14","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN15","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN16","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN17","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN18","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN19","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN20","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN21","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN22","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN23","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN24","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN25","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN26","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN27","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN28","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN29","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN30","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN31","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN32","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN33","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN34","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN35","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN36","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN37","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN38","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN39","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN40","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN41","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN42","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN43","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN44","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN45","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN46","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN47","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN48","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN49","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN50","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN51","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN52","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN53","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN54","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN55","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN56","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN57","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN58","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN59","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN60","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN61","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN62","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN63","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN64","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN65","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN66","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN67","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN68","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN69","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN70","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN71","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN72","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN73","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN74","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN75","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN76","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN77","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN78","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN79","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN80","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN81","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN82","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN83","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN84","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN85","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN86","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN87","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN88","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN89","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN90","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN91","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN92","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN93","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN94","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN95","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN96","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN97","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN98","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN99","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN100","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN101","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN102","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN103","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN104","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN105","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN106","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN107","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN108","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN109","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN110","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN111","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN112","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN113","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN114","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN115","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN116","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN117","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN118","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN119","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN120","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN121","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN122","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN123","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN124","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN125","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN126","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN127","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN128","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN129","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN130","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN131","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN132","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN133","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN134","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN135","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN136","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN137","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN138","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN139","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN140","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN141","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN142","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN143","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN144","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN145","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN146","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN147","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN148","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN149","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN150","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN151","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN152","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN153","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN154","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN155","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN156","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN157","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN158","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN159","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN160","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN161","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN162","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN163","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN164","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN165","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN166","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN167","EGSS",51.885,0.235,348,0,"E"
